organism_name	taxid	bioproject_accession	bioproject_id	group	subgroup	size_mb	gc	assembly_accession	replicons	wgs	scaffolds	genes	proteins	release_date	modify_date	status	center	biosample_accession
Malus domestica	3750	PRJNA28845	28845	Plants	Land Plants	1874.77	45.3151	GCA_000148765.2	chromosome 1:NC_024239.1/CM001026.1; chromosome 2:NC_024240.1/CM001027.1; chromosome 3:NC_024241.1/CM001028.1; chromosome 4:NC_024242.1/CM001029.1; chromosome 5:NC_024243.1/CM001030.1; chromosome 6:NC_024244.1/CM001031.1; chromosome 7:NC_024245.1/CM001032.1; chromosome 8:NC_024246.1/CM001033.1; chromosome 9:NC_024247.1/CM001034.1; chromosome 10:NC_024248.1/CM001035.1; chromosome 11:NC_024249.1/CM001036.1; chromosome 12:NC_024250.1/CM001037.1; chromosome 13:NC_024251.1/CM001038.1; chromosome 14:NC_024252.1/CM001039.1; chromosome 15:NC_024253.1/CM001040.1; chromosome 16:NC_024254.1/CM001041.1; chromosome 17:NC_024255.1/CM001042.1; mitochondrion MT:NC_018554.1/FR714868.1	ACYM01	1667	58105	60549	2010-09-03	2014-08-11	Chromosome	IASMA research center	SAMN02981243
Ostreococcus tauri	70448	PRJNA12912	12912	Plants	Green Algae	13.0328	59.1984	GCA_000214015.2	chromosome 1:NC_014426.2/CAID01000001.2; chromosome 2:NC_014427.2/CAID01000002.2; chromosome 3:NC_014428.2/CAID01000003.2; chromosome 4:NC_014429.2/CAID01000004.2; chromosome 5:NC_014430.2/CAID01000005.2; chromosome 6:NC_014431.2/CAID01000006.2; chromosome 7:NC_014432.2/CAID01000007.2; chromosome 8:NC_014433.2/CAID01000008.2; chromosome 9:NC_014434.2/CAID01000009.2; chromosome 10:NC_014435.2/CAID01000010.2; chromosome 11:NC_014436.2/CAID01000011.2; chromosome 12:NC_014437.2/CAID01000012.2; chromosome 13:NC_014438.2/CAID01000013.2; chromosome 14:NC_014439.2/CAID01000014.2; chromosome 15:NC_014440.2/CAID01000015.2; chromosome 16:NC_014441.2/CAID01000016.2; chromosome 17:NC_014442.2/CAID01000017.2; chromosome 18:NC_014443.2/CAID01000018.2; chromosome 19:NC_014444.2/CAID01000019.2; chromosome 20:NC_014445.2/CAID01000020.2; mitochondrion MT:NC_008290.1/CR954200.2; chloroplast Pltd:NC_008289.1/CR954199.2	CAID01	22	7833	7766	2010-10-15	2015-08-17	Chromosome	Laboratoire Arago, France	SAMEA3138397
Phaseolus vulgaris	3885	PRJNA41439	41439	Plants	Land Plants	521.077	36.2199	GCA_000499845.1	chromosome 1:NC_023759.1/CM002288.1; chromosome 2:NC_023758.1/CM002289.1; chromosome 3:NC_023757.1/CM002290.1; chromosome 4:NC_023756.1/CM002291.1; chromosome 5:NC_023755.1/CM002292.1; chromosome 6:NC_023754.1/CM002293.1; chromosome 7:NC_023753.1/CM002294.1; chromosome 8:NC_023752.1/CM002295.1; chromosome 9:NC_023751.1/CM002296.1; chromosome 10:NC_023750.1/CM002297.1; chromosome 11:NC_023749.1/CM002298.1	ANNZ01	708	28134	32720	2013-11-26	2014-08-11	Chromosome	JGI	SAMN02981484
Physcomitrella patens	3218	PRJNA13064	13064	Plants	Land Plants	477.948	34.2999	GCA_000002425.1	mitochondrion MT:NC_007945.1/AB251495.1; chloroplast Pltd:NC_005087.1/AP005672.1	ABEU01	1990	36002	35934	2007-11-27	2018-01-25	Scaffold	Moss Genome Consortium	SAMN00120126
Prunus persica	3760	PRJNA31227	31227	Plants	Land Plants	227.569	37.6659	GCA_000346465.2	chromosome G1:NC_034009.1/CM007651.1; chromosome G2:NC_034010.1/CM007652.1; chromosome G3:NC_034011.1/CM007653.1; chromosome G4:NC_034012.1/CM007654.1; chromosome G5:NC_034013.1/CM007655.1; chromosome G6:NC_034014.1/CM007656.1; chromosome G7:NC_034015.1/CM007657.1; chromosome G8:NC_034016.1/CM007658.1; chloroplast Pltd:NC_014697.1/HQ336405.1	AKXU02	192	26406	32595	2013-03-14	2017-02-02	Chromosome	JGI	SAMN02981429
Secale cereale	4550	PRJEB13501	354746	Plants	Land Plants	1684.93	46.7	GCA_900079665.1	NA	FKKI01	1581707	NA	NA	2016-11-23	2016-11-23	Scaffold	IPK-Gatersleben	SAMEA3928734
Solanum tuberosum	4113	PRJNA63145	63145	Plants	Land Plants	705.934	35.6005	GCA_000226075.1	chloroplast Pltd:NC_008096.2/DQ386163.2	AEWC01	14854	33410	37966	2011-05-24	2014-08-11	Scaffold	Potato Genome Sequencing Consortium	SAMN02981305
Vitis vinifera	29760	PRJEA18785	18785	Plants	Land Plants	486.197	35.0336	GCA_000003745.2	chromosome 1:NC_012007.3/FN597015.1; chromosome 2:NC_012008.3/FN597017.1; chromosome 3:NC_012009.3/FN597018.1; chromosome 4:NC_012010.3/FN597020.1; chromosome 5:NC_012011.3/FN597022.1; chromosome 6:NC_012012.3/FN597024.1; chromosome 7:NC_012013.3/FN597025.1; chromosome 8:NC_012014.3/FN597027.1; chromosome 9:NC_012015.3/FN597028.1; chromosome 10:NC_012016.3/FN597030.1; chromosome 11:NC_012017.3/FN597032.1; chromosome 12:NC_012018.3/FN597034.1; chromosome 13:NC_012019.3/FN597036.1; chromosome 14:NC_012020.3/FN597038.1; chromosome 15:NC_012021.3/FN597039.1; chromosome 16:NC_012022.3/FN597040.1; chromosome 17:NC_012023.3/FN597042.1; chromosome 18:NC_012024.3/FN597044.1; chromosome 19:NC_012025.3/FN597046.1; mitochondrion MT:NC_012119.1/FM179380.1; chloroplast Pltd:NC_007957.1/DQ424856.1	CAAP03	2061	29863	41208	2007-02-13	2009-11-25	Chromosome	International Grape Genome Program	SAMEA2272750
Ostreococcus lucimarinus CCE9901	436017	PRJNA13044	13044	Plants	Green Algae	13.2049	60.4431	GCA_000092065.1	chromosome 1:NC_009355.1/CP000581.1; chromosome 2:NC_009356.1/CP000582.1; chromosome 3:NC_009357.1/CP000583.1; chromosome 4:NC_009358.1/CP000584.1; chromosome 5:NC_009359.1/CP000585.1; chromosome 6:NC_009360.1/CP000586.1; chromosome 7:NC_009361.1/CP000587.1; chromosome 8:NC_009362.1/CP000588.1; chromosome 9:NC_009363.1/CP000589.1; chromosome 10:NC_009364.1/CP000590.1; chromosome 11:NC_009365.1/CP000591.1; chromosome 12:NC_009366.1/CP000592.1; chromosome 13:NC_009367.1/CP000593.1; chromosome 14:NC_009368.1/CP000594.1; chromosome 15:NC_009369.1/CP000595.1; chromosome 16:NC_009370.1/CP000596.1; chromosome 17:NC_009371.1/CP000597.1; chromosome 18:NC_009372.1/CP000598.1; chromosome 19:NC_009373.1/CP000599.1; chromosome 20:NC_009374.1/CP000600.1; chromosome 21:NC_009375.1/CP000601.1	NA	21	7640	7603	2007-04-10	2017-06-23	Complete Genome	US DOE Joint Genome Institute	SAMN03081420
Selaginella moellendorffii	88036	PRJNA13078	13078	Plants	Land Plants	212.502	45.3	GCA_000143415.2	NA	ADFJ01	758	34781	34746	2010-06-24	2014-08-11	Scaffold	Selaginella Consortium	SAMN02981255
Volvox carteri f. nagariensis	3068	PRJNA13109	13109	Plants	Green Algae	137.684	55.3	GCA_000143455.1	NA	ACJH01	1251	14437	14436	2010-07-06	2014-08-06	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02953753
Nicotiana tabacum	4097	PRJNA319578	319578	Plants	Land Plants	3643.47	39.2006	GCA_000715135.1	plastid Pltd:NC_001879.2/Z00044.2; mitochondrion MT:NC_006581.1/BA000042.1	AYMY01	168247	69595	84255	2014-05-29	2015-04-28	Scaffold	NCBI	SAMN02316627
Manihot esculenta	3983	PRJNA394209	394209	Plants	Land Plants	582.279	38.0059	GCA_001659605.1	chromosome LG1:NC_035161.1/CM004387.1; chromosome LG2:NC_035162.1/CM004388.1; chromosome LG3:NC_035163.1/CM004389.1; chromosome LG4:NC_035164.1/CM004390.1; chromosome LG5:NC_035165.1/CM004391.1; chromosome LG6:NC_035166.1/CM004392.1; chromosome LG7:NC_035167.1/CM004393.1; chromosome LG8:NC_035168.1/CM004394.1; chromosome LG9:NC_035169.1/CM004395.1; chromosome LG10:NC_035170.1/CM004396.1; chromosome LG11:NC_035171.1/CM004397.1; chromosome LG12:NC_035172.1/CM004398.1; chromosome LG13:NC_035173.1/CM004399.1; chromosome LG14:NC_035174.1/CM004400.1; chromosome LG15:NC_035175.1/CM004401.1; chromosome LG16:NC_035176.1/CM004402.1; chromosome LG17:NC_035177.1/CM004403.1; chromosome LG18:NC_035178.1/CM004404.1; chloroplast Pltd:NC_010433.1/EU117376.1	LTYI01	2020	31881	43286	2016-06-07	2016-06-10	Chromosome	NCBI	SAMN04116956
Oryza rufipogon	4529	PRJEB4137	271385	Plants	Land Plants	339.177	42.5	GCA_000817225.1	NA	CBQP01	3818	NA	NA	2014-12-30	2014-12-30	Scaffold	NCGR	SAMEA3158452
Oryza glaberrima	4538	PRJNA13765	13765	Plants	Land Plants	303.295	42.8	GCA_000147395.2	NA	ADWL01	25599	NA	NA	2010-07-08	2015-01-13	Scaffold	The Oryza Map Alignment Project (OMAP)	SAMN02981267
Lolium perenne	4522	PRJNA340873	340873	Plants	Land Plants	481.479	46.3	GCA_001735685.1	NA	MEHO01	666180	NA	NA	2016-09-20	2016-09-20	Scaffold	rutgers university	SAMN05714679
Arabidopsis lyrata subsp. lyrata	81972	PRJNA41137	41137	Plants	Land Plants	206.823	37.5991	GCA_000004255.1	chloroplast Pltd:NC_034379.1/LC154068.1	ADBK01	696	34280	39161	2009-11-30	2014-08-11	Scaffold	US DOE Joint Genome Institute (JGI-PGF)	SAMN02981250
Erythranthe guttata	4155	PRJNA13880	13880	Plants	Land Plants	322.167	36.3144	GCA_000504015.1	mitochondrion MT:NC_018041.1/JN098455.1	APLE01	2212	30291	31861	2013-12-04	2014-05-02	Scaffold	DOE Joint Genome Institute	SAMN02742818
Capsella rubella	81985	PRJNA13878	13878	Plants	Land Plants	133.064	35.9	GCA_000375325.1	NA	ANNY01	773	29261	34126	2013-04-19	2014-08-11	Scaffold	DOE Joint Genome Institute	SAMN02981483
Micromonas pusilla CCMP1545	564608	PRJNA15678	15678	Plants	Green Algae	21.9583	65.7	GCA_000151265.1	NA	ACCP01	21	10248	10242	2009-04-07	2014-08-06	Scaffold	Micromonas Genome Consortium	SAMN02953743
Hevea brasiliensis	3981	PRJNA394253	394253	Plants	Land Plants	1373.53	35.7	GCA_001654055.1	chloroplast Pltd:NC_015308.1/HQ285842.1	LVXX01	7453	42390	58062	2016-06-01	2016-06-01	Scaffold	NCBI	SAMN04451765
Carica papaya	3649	PRJNA20267	20267	Plants	Land Plants	370.419	39.0069	GCA_000150535.1	mitochondrion MT:NC_012116.1/EU431224.1; chloroplast Pltd:NC_010323.1/EU431223.1	ABIM01	17766	19933	26103	2008-04-23	2014-08-06	Scaffold	The Papaya Genome Sequencing Consortium	SAMN02953710
Theobroma cacao	3641	PRJEB14326	328106	Plants	Land Plants	324.88	34.9922	GCA_000208745.2	chromosome 1:NC_030850.1/LT594788.1; chromosome 2:NC_030851.1/LT594789.1; chromosome 3:NC_030852.1/LT594790.1; chromosome 4:NC_030853.1/LT594791.1; chromosome 5:NC_030854.1/LT594792.1; chromosome 6:NC_030855.1/LT594793.1; chromosome 7:NC_030856.1/LT594794.1; chromosome 8:NC_030857.1/LT594795.1; chromosome 9:NC_030858.1/LT594796.1; chromosome 10:NC_030859.1/LT594797.1; chloroplast Pltd:NC_014676.2/HQ244500.2	FLSQ01	431	24918	30854	2016-07-08	2016-07-08	Chromosome	CIRAD	SAMEA4028428
Ricinus communis	3988	PRJNA16585	16585	Plants	Land Plants	350.622	34.4006	GCA_000151685.2	chloroplast Pltd:NC_016736.1/JF937588.1	AASG02	25763	22200	27998	2006-07-18	2014-08-06	Scaffold	J. Craig Venter Institute	SAMN02953659
Vigna radiata var. radiata	3916	PRJNA301363	301363	Plants	Land Plants	463.638	34.3983	GCA_000741045.2	chromosome 1:NC_028351.1/CM003504.1; chromosome 2:NC_028352.1/CM003505.1; chromosome 3:NC_028353.1/CM003506.1; chromosome 4:NC_028354.1/CM003507.1; chromosome 5:NC_028355.1/CM003508.1; chromosome 6:NC_028356.1/CM003509.1; chromosome 7:NC_028357.1/CM003510.1; chromosome 8:NC_028358.1/CM003511.1; chromosome 9:NC_028359.1/CM003512.1; chromosome 10:NC_028360.1/CM003513.1; chromosome 11:NC_028361.1/CM003514.1; mitochondrion MT:NC_015121.1/HM367685.1; chloroplast Pltd:NC_013843.1/GQ893027.1	JJMO01	2499	29938	42284	2014-08-18	2015-10-28	Chromosome	NCBI	SAMN02720863
Chlorella variabilis	554065	PRJNA45853	45853	Plants	Green Algae	46.1595	65.5	GCA_000147415.1	NA	ADIC01	414	9780	9780	2010-08-31	2014-08-01	Scaffold	JGI	SAMN02744065
Brachypodium distachyon	15368	PRJNA32607	32607	Plants	Land Plants	272.133	46.436	GCA_000005505.2	chromosome 1:NC_016131.2/CM000880.2; chromosome 2:NC_016132.2/CM000881.2; chromosome 3:NC_016133.2/CM000882.2; chromosome 4:NC_016134.2/CM000883.2; chromosome 5:NC_016135.2/CM000884.2; chloroplast Pltd:NC_011032.1/EU325680.1	ADDN02	28	29057	33944	2010-02-10	2015-12-08	Chromosome	The International Brachypodium Initiative	SAMN02981254
Chlorella vulgaris	3077	PRJNA278897	278897	Plants	Green Algae	37.3422	61.5	GCA_001021125.1	NA	LDKB01	3600	NA	NA	2015-06-05	2015-06-05	Scaffold	National Renewable Energy Laboratory	SAMN03453227
Daucus carota subsp. sativus	79200	PRJNA326436	326436	Plants	Land Plants	421.539	36.0434	GCA_001625215.1	chromosome 1:NC_030381.1/CM004278.1; chromosome 2:NC_030382.1/CM004279.1; chromosome 3:NC_030383.1/CM004280.1; chromosome 4:NC_030384.1/CM004281.1; chromosome 5:NC_030385.1/CM004282.1; chromosome 6:NC_030386.1/CM004283.1; chromosome 7:NC_030387.1/CM004284.1; chromosome 8:NC_030388.1/CM004285.1; chromosome 9:NC_030389.1/CM004286.1; chloroplast Pltd:NC_008325.1/DQ898156.1; plastid Pltd:CM004358.1; mitochondrion MT:NC_017855.1/JQ248574.1	LNRQ01	4826	36299	44740	2016-04-20	2016-05-27	Chromosome	NCBI	SAMN03216637
Jatropha curcas	180498	PRJNA63485	63485	Plants	Land Plants	318.527	35.8997	GCA_000696525.1	chloroplast Pltd:NC_012224.1/FJ695500.1	AFEW01	6024	24581	32547	2014-05-23	2014-06-02	Scaffold	Chinese Academy of Sciences	SAMN02799222
Cucumis sativus	3659	PRJNA33619	33619	Plants	Land Plants	195.669	32.7902	GCA_000004075.2	chromosome 1:NC_026655.1/CM002922.1; chromosome 2:NC_026656.1/CM002923.1; chromosome 3:NC_026657.1/CM002924.1; chromosome 4:NC_026658.1/CM002925.1; chromosome 5:NC_026659.1/CM002926.1; chromosome 6:NC_026660.1/CM002927.1; chromosome 7:NC_026661.1/CM002928.1; mitochondrion 1:NC_016005.1/HQ860792.1; mitochondrion 2:NC_016004.1/HQ860794.1; mitochondrion 3:NC_016006.1/HQ860793.1; chloroplast Pltd:NC_007144.1/AJ970307.1	ACHR02	190	20396	25668	2009-10-20	2014-10-27	Chromosome	The Cucumber Genome Initiative	SAMN02953750
Amaranthus tuberculatus	277990	PRJNA38543	38543	Plants	Land Plants	4.34798	35	GCA_000180655.1	NA	ACQK01	15440	NA	NA	2009-06-22	2013-11-01	Contig	University of Illinois	SAMN00008865
Eucalyptus grandis	71139	PRJNA49047	49047	Plants	Land Plants	691.43	39.9993	GCA_000612305.1	chloroplast Pltd:NC_014570.1/HM347959.1	AUSX01	4951	45226	52554	2014-04-02	2014-06-25	Scaffold	Geneglob	SAMN02230419
Micromonas sp. ASP10-01a	1621096	PRJNA276743	276743	Plants	Green Algae	19.5824	59.2	GCA_001430725.1	NA	LAQG01	1069	NA	NA	2015-04-28	2015-04-28	Scaffold	Marine Biological Laboratory	SAMN03380213
Zostera marina	29655	PRJNA41721	41721	Plants	Land Plants	203.914	38.9	GCA_001185155.1	NA	LFYR01	2228	20855	20648	2015-07-22	2016-02-16	Scaffold	JGI	SAMN00991190
